Date,Open,High,Low,Close,Volume
2024-06-28,0.474363,0.480442,0.468798,0.470662,322030569.04492
2024-06-29,0.470662,0.476028,0.470276,0.472495,117724807.57298
2024-06-30,0.472396,0.474958,0.469338,0.47386,119810145.67042
2024-07-01,0.47376,0.484357,0.47376,0.478069,311772462.19343
2024-07-02,0.477969,0.488125,0.475472,0.483924,301595693.5419
2024-07-03,0.484024,0.486457,0.461297,0.466382,333672873.99627
2024-07-04,0.466282,0.469183,0.43659,0.445546,405462005.66604
2024-07-05,0.445546,0.446845,0.387395,0.424334,529740231.45153
2024-07-06,0.424334,0.4497,0.422938,0.447813,223896853.29465
2024-07-07,0.448113,0.449631,0.421462,0.425153,204779922.60096
2024-07-08,0.425057,0.443003,0.403464,0.430461,469974203.05646
2024-07-09,0.430461,0.437982,0.427223,0.435291,309193542.23791
2024-07-10,0.435291,0.442587,0.431222,0.437165,291559287.04568
2024-07-11,0.437265,0.453741,0.436487,0.447087,424256062.54766
2024-07-12,0.447187,0.477905,0.4445,0.470389,710180533.17661
2024-07-13,0.470489,0.565991,0.470389,0.534596,1313344377.4108
2024-07-14,0.534396,0.540194,0.513928,0.527995,674897122.89309
2024-07-15,0.527995,0.540557,0.520251,0.532366,701452165.92633
2024-07-16,0.532366,0.594555,0.532266,0.580145,1428049874.5687
2024-07-17,0.580645,0.634563,0.574161,0.630457,1326078996.2633
2024-07-18,0.630557,0.637662,0.557655,0.568386,1234259769.75
2024-07-19,0.568586,0.586788,0.540492,0.576142,809114529.57231
2024-07-20,0.576342,0.60496,0.569184,0.594049,500956153.38311
2024-07-21,0.594155,0.608076,0.573004,0.59842,436173408.29367
2024-07-22,0.59852,0.623043,0.585623,0.615285,641084031.39502
2024-07-23,0.615285,0.616956,0.582876,0.596172,523059879.63063
2024-07-24,0.595771,0.632525,0.591659,0.616195,638734191.94132
2024-07-25,0.616389,0.626368,0.58446,0.599326,717998596.86672
2024-07-26,0.599444,0.609115,0.586247,0.6034,491078352.9792
2024-07-27,0.603394,0.609167,0.583464,0.600982,259966794.58082
2024-07-28,0.600582,0.614588,0.591294,0.598746,252593792.63994
2024-07-29,0.598746,0.612184,0.591905,0.604134,337672308.4964
2024-07-30,0.604134,0.63726,0.595175,0.626112,740475286.73172
2024-07-31,0.626112,0.658416,0.621751,0.632372,678889036.35125
2024-08-01,0.632372,0.63489,0.567954,0.592414,557873405.39877
2024-08-02,0.592714,0.599242,0.546097,0.56425,560693974.23223
2024-08-03,0.56435,0.577082,0.540338,0.55585,400076292.71815
2024-08-04,0.55565,0.558659,0.513758,0.528047,367615832.03525
2024-08-05,0.528347,0.533897,0.431865,0.490393,1518756539.0506
2024-08-06,0.490593,0.518606,0.488037,0.510094,641583720.79596
2024-08-07,0.510094,0.642716,0.494659,0.626663,667412792.64771
2024-08-08,0.627163,0.643127,0.578869,0.613284,744629123.86762
2024-08-09,0.613484,0.620974,0.568559,0.578979,362864167.81002
2024-08-10,0.57928,0.602196,0.577102,0.590412,250213440.89999
2024-08-11,0.590412,0.593413,0.54906,0.555156,288369468.75422
2024-08-12,0.555156,0.579362,0.545449,0.564362,394725895.86906
2024-08-13,0.564362,0.583563,0.562752,0.57957,355489186.52358
2024-08-14,0.57957,0.582727,0.564275,0.568445,329959606.98867
2024-08-15,0.568551,0.574298,0.550999,0.5576,272878358.1309
2024-08-16,0.557506,0.570834,0.5541,0.564058,272766562.68493
2024-08-17,0.564195,0.571046,0.561235,0.565451,104926167.82878
2024-08-18,0.565551,0.583858,0.564351,0.570814,165677122.07019
2024-08-19,0.570814,0.608816,0.560845,0.596831,542788630.0506
2024-08-20,0.596831,0.615178,0.587829,0.595406,378846127.67472
2024-08-21,0.595206,0.605703,0.585223,0.602348,336814816.1524
2024-08-22,0.602501,0.604369,0.592418,0.59613,253641233.52781
2024-08-23,0.59673,0.615118,0.591006,0.612584,354739153.92662
2024-08-24,0.612584,0.631089,0.604832,0.608313,337550672.69183
2024-08-25,0.608813,0.613984,0.595408,0.602411,210603152.10701
2024-08-26,0.602511,0.60483,0.578868,0.586406,239654990.66424
2024-08-27,0.586306,0.60024,0.565694,0.5733,274232163.55295
2024-08-28,0.5732,0.584506,0.554511,0.570151,334793310.84712
2024-08-29,0.570451,0.576987,0.558439,0.562694,207266574.81614
2024-08-30,0.562794,0.567023,0.546185,0.565726,297609502.11922
2024-08-31,0.565726,0.572043,0.562378,0.565987,98409412.337549
2024-09-01,0.566657,0.568386,0.551801,0.558,105342029.19014
2024-09-02,0.558,0.568592,0.543462,0.566404,219418528.11632
2024-09-03,0.566404,0.57236,0.557238,0.565941,184498628.65448
2024-09-04,0.565941,0.566041,0.534656,0.558439,282860083.1658
2024-09-05,0.558539,0.561144,0.540003,0.543804,217674593.52204
2024-09-06,0.543891,0.547114,0.502534,0.51913,436831660.10948
2024-09-07,0.51913,0.532847,0.517431,0.524848,137773492.58058
2024-09-08,0.525147,0.531462,0.520753,0.526147,88155255.501476
2024-09-09,0.526711,0.542771,0.525285,0.540592,193347781.54704
2024-09-10,0.540697,0.542795,0.533773,0.539362,152503015.98471
